,,4.8,6.1,2,8.9,,,,,5.3,,,,,,1.6,,,,3.3,3.9,3.1,,,5.3,,2,,
,,,,,6.4,,,,,,,,4.5,7.6,2.7,,,,,,,,,,,12.5,2,0.2,7.2
,,,,,8,5.1,,3.3,9.82,,,,,,,,,,,,10,,0.2,2.8,,,2.1,,6.8
,,,,4.5,8.6,,,,,5.4,,,,,,,,,7.7,2.1,,,,,,14.1,2,,6.8
3.4,6.9,3.1,,,16.7,4.8,3.2,,,,,,,9.9,,2.6,,,,,,,,,,13.4,1.8,,8.2
,,2.7,,,,,,,,,,2.7,4.2,,3.6,,,,,,,4.5,0.3,,,,1.3,,7.8
,,,,,0.9,,,1.9,5.4,,,,,7.6,,,,,5.1,5,1.3,,,,,,,,9.8
,,,,,0.4,5.2,,,,,,,,,,,,0.5,,4.2,,,0.8,,,10.3,,,9.5
,,0.9,2.3,1.3,2.3,,,,,3.4,,,,,,0.9,,,,,0.9,1.2,,,2.1,,,,9
,,,,,1.4,,,,,,,,6.8,6,1.5,,,,,,,,,,,8.8,,,9.6
,,,,,0.9,4.4,,1.7,3.66,,,,,,,,,,,,1.3,,0.3,0.61,,,,,8.9
,,,,3,1.5,,,,,3.3,,,,,,,,,5.2,2.5,,,,,,10.2,,,8.8
2.2,,1.7,,,2,4.7,,,,,,,,7,,0.5,,,,,,,,,,8.3,3.3,,9.4
,,1.4,,,,,,,,,,0.9,5.3,,2.3,,,,,,,1.9,0.1,,,,,,7.6
,,,,,2.3,,,2.9,7.7,,,,,7.5,,,,,7.3,7.8,2.4,,,,,,,,12.8
,,,,,0.7,9.6,,,,,,,,,,,,,,7.2,,,1.2,,,11.7,,,12.6
,,1.7,3.8,2,4,,,,,5.5,,,,,,1.4,,,,,1.2,1.4,,,4.2,,,,11.9
,,,,,2.5,,,,,,,,9.4,7.6,2.2,,,,,,,,,,,11.1,,,13.6
,,,,,1.6,8.9,,2.6,5.95,,,,,,,,,,,,2.3,,0.7,1.14,,,,,12.8
,,,,5.3,1.9,,,,,5,,,,,,,,,7.6,4.2,,,,,,13.6,,,13.4
2.8,,3,,,3.6,9.5,,,,,,,,7.6,,0.7,,,,,,,,,,11.8,4.6,,14.9
,,2.6,,,,,,,,,,1.8,8.2,,4,,,,,,,2.8,0.1,,,,,,12
,,,,,0.2,,,0.5,1.1,,,,,1.1,,,,,1.5,1,0.2,,,,,,,,2.4
,0.5,,,,0.1,0.9,,,,,,,,,,,,,,0.9,,,0.2,,,2.2,,,2.4
,,0.2,0.5,0.3,0.4,,,,,0.8,,,,,,0.2,,,,,0.2,0.2,,,0.5,,,,2
,,,,,0.6,,,,,,,,1.5,1.2,0.2,,,,,,,,,,,2.3,,,2.2
,,,,,0.3,0.9,,0.2,0.88,,,,,,,,,,,,0.7,,0.1,0.2,,,,,2.2
,,,,1.2,0.4,,,,,0.8,,,,,,,,,1.2,0.4,,,,,,2.7,,,2.5
0.9,0.9,0.7,,,0.7,1.4,0.7,,,,,,,2.1,,0.2,,,,,,,,,,3.1,0.5,,3
,,0.5,,,,,,,,,,0.2,1.7,,0.5,,,,,,,0.6,0,,,,,,2.3
,,,,,0.6,,,1,2.4,,,,,1.8,,,,,3,2.3,0.4,,,,,,,,4.2
,0.9,,,,0.3,2.4,,,,,,,,,,,,,,2.2,,,0.2,,,3.3,,,4.2
,,0.3,0.9,0.6,0.5,,,,,1.6,,,,,,0.3,,,,,0.3,0.4,,,1.2,,,,3.3
,,,,,1.1,,,,,,,,2.8,2.2,0.3,,,,,,,,,,,3.6,,,4.2
,,,,,0.5,2.5,,0.6,1.85,,,,,,,,,,,,1.3,,0.2,0.38,,,,,4.2
,,,,2.2,0.5,,,,,1.8,,,,,,,,,2.4,0.6,,,,,,4.4,,,4.8
1.2,2,1.5,,,1.6,3.4,1.3,,,,,,,2.9,,0.3,,,,,,,,,,5.5,1.2,,6.2
,,1,,,,,,,,,,0.4,3.1,,1,,,,,,,1.2,0.1,,,,,,4.5
,,,,,0.2,,,0.2,,,,,,0.3,,,,,0.6,,0,,,,,,,,0.9
,,,,,0.1,0.3,,,,,,,,,,,,,,,,,0,,,1,,,
,,0.1,0.3,0.1,0.1,,,,,0.3,,,,,,0,,,,,,0.1,,,0.1,,,,
,,,,,0.1,,,,,,,,0.5,0.3,0.1,,,,,,,,,,,1.1,,,1
,,,,,0.1,0.2,,0,,,,,,,,,,,,,0.5,,0,0.11,,,,,0.8
,,,,0.7,0.1,,,,,0.3,,,,,,,,,0.5,0.2,,,,,,1.3,,,1.1
0.6,,0.4,,,0.4,0.2,0.1,,,,,,,0.7,,0.1,,,,,,,,,,1.1,0.1,,1.5
,,0.3,,,,,,,,,,0.2,0.5,,0.2,,,,,,,0.3,0,,,,,,1
,,,,,0.6,,,0.3,,,,,,0.5,,,,,1.4,,0,,,,,,,,1.7
,,,,,0.3,0.7,,,,,,,,,,,,,,,,,0,,,1.2,,,
,,0.1,0.4,0.1,0.2,,,,,0.5,,,,,,0.1,,,,,,0.2,,,0.4,,,,
,,,,,0.3,,,,,,,,1,0.6,0.1,,,,,,,,,,,1.7,,,1.9
,,,,,0.2,0.6,,0,,,,,,,,,,,,,0.9,,0,0.17,,,,,1.6
,,,,1.3,0.2,,,,,0.4,,,,,,,,,,0.1,,,,,,2,,,2.1
0.5,,0.8,,,0.8,0.5,0.2,,,,,,,1.1,,0.1,,,,,,,,,,1.9,0.3,,2.9
,,0.5,,,,,,,,,,0.2,1,,0.3,,,,,,,0.6,0,,,,,,2.1
,,,,,2.6,,,3.4,2.2,,,,,2.8,,,,,4.4,4.1,1.7,,,,,,,,10.3
,,,,,1.1,6.6,,,,,,,,,,,,0.3,,3.7,,,0.3,,,3.8,,,11.1
,,1.2,2.6,0.7,2.5,,,,,3.1,,,,,,1.2,,,,,2.9,0.5,,,0.9,,,,10.6
